File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
SD,eng,SALT_Convo,.,5;0-5;6,.,TD,.,.,.,.,.,.,Conversation,.,63.39,60.86,0.98,1.07,.,.,.,74.69,327.66,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54
Mean,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,Conversation,.,92.4,85.48,4.86,5.36,.,.,.,152.42,416.3,.,.,0.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
Min,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,Conversation,.,18,17,1.93,2.13,.,.,.,34,41,.,.,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
Max,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,Conversation,.,288,279,7.07,7.83,.,.,.,309,1168,.,.,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
SD,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,Conversation,.,52.63,50.3,0.99,1.1,.,.,.,57.98,238.94,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
Mean,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,Conversation,.,94,87.82,5.11,5.64,.,.,.,159.32,435.03,.,.,0.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Min,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,Conversation,.,20,18,2.77,3,.,.,.,51,85,.,.,0.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Max,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,Conversation,.,278,257,8.15,9.26,.,.,.,321,1417,.,.,1.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
SD,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,Conversation,.,62.69,59.46,1.11,1.22,.,.,.,65.32,285.23,.,.,0.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Mean,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,Conversation,.,93.88,87.87,5.67,6.22,.,.,.,166.88,483.4,.,.,1.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Min,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,Conversation,.,19,17,3.53,4.02,.,.,.,44,87,.,.,0.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Max,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,Conversation,.,263,246,9.45,10.16,.,.,.,377,1532,.,.,1.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
SD,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,Conversation,.,66.69,62.8,1.17,1.3,.,.,.,73.35,337.65,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Mean,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,Conversation,.,136.93,128.58,5.48,6.04,.,.,.,213.64,685.73,.,.,1.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Min,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,Conversation,.,14,12,3.52,3.92,.,.,.,34,60,.,.,0.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Max,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,Conversation,.,443,427,8.61,9.68,.,.,.,385,1818,.,.,1.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
SD,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,Conversation,.,86.66,81.83,1.17,1.29,.,.,.,87.35,428.84,.,.,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Mean,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,Conversation,.,85.82,78.79,5.68,6.32,.,.,.,166.62,451.28,.,.,1.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Min,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,Conversation,.,47,33,2.57,2.8,.,.,.,79,154,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Max,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,Conversation,.,222,214,9.02,10.04,.,.,.,403,1800,.,.,1.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
SD,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,Conversation,.,43.79,40.81,1.51,1.66,.,.,.,64.95,303.07,.,.,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Mean,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,Conversation,.,129.87,119.96,5.95,6.59,.,.,.,229.23,712.46,.,.,1.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
