File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
Min,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,interview,.,18,17,1.93,2.13,.,.,.,34,41,.,.,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
Max,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,interview,.,288,279,7.07,7.83,.,.,.,309,1168,.,.,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
SD,eng,SALT_Convo,.,5;6-6;0,.,TD,.,.,.,.,.,.,interview,.,52.63,50.3,0.99,1.1,.,.,.,57.98,238.94,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90
Mean,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,interview,.,94,87.82,5.11,5.64,.,.,.,159.32,435.03,.,.,0.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Min,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,interview,.,20,18,2.77,3,.,.,.,51,85,.,.,0.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Max,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,interview,.,278,257,8.15,9.26,.,.,.,321,1417,.,.,1.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
SD,eng,SALT_Convo,.,6;0-6;6,.,TD,.,.,.,.,.,.,interview,.,62.69,59.46,1.11,1.22,.,.,.,65.32,285.23,.,.,0.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68
Mean,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,interview,.,93.88,87.87,5.67,6.22,.,.,.,166.88,483.4,.,.,1.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Min,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,interview,.,19,17,3.53,4.02,.,.,.,44,87,.,.,0.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Max,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,interview,.,263,246,9.45,10.16,.,.,.,377,1532,.,.,1.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
SD,eng,SALT_Convo,.,6;6-7;0,.,TD,.,.,.,.,.,.,interview,.,66.69,62.8,1.17,1.3,.,.,.,73.35,337.65,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
Mean,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,interview,.,136.93,128.58,5.48,6.04,.,.,.,213.64,685.73,.,.,1.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Min,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,interview,.,14,12,3.52,3.92,.,.,.,34,60,.,.,0.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Max,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,interview,.,443,427,8.61,9.68,.,.,.,385,1818,.,.,1.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
SD,eng,SALT_Convo,.,7;0-7;6,.,TD,.,.,.,.,.,.,interview,.,86.66,81.83,1.17,1.29,.,.,.,87.35,428.84,.,.,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84
Mean,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,interview,.,85.82,78.79,5.68,6.32,.,.,.,166.62,451.28,.,.,1.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Min,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,interview,.,47,33,2.57,2.8,.,.,.,79,154,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Max,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,interview,.,222,214,9.02,10.04,.,.,.,403,1800,.,.,1.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
SD,eng,SALT_Convo,.,7;6-8;0,.,TD,.,.,.,.,.,.,interview,.,43.79,40.81,1.51,1.66,.,.,.,64.95,303.07,.,.,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39
Mean,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,interview,.,129.87,119.96,5.95,6.59,.,.,.,229.23,712.46,.,.,1.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Min,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,interview,.,40,34,3.05,3.35,.,.,.,93,202,.,.,0.47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,interview,.,266,242,8.48,9.23,.,.,.,411,1541,.,.,1.83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
SD,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,interview,.,58.23,55.66,1.11,1.23,.,.,.,79.93,360.39,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,interview,.,138.72,129.65,6.28,6.92,.,.,.,236.53,779.05,.,.,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Min,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,interview,.,33,32,3.95,4.33,.,.,.,105,201,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Max,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,interview,.,379,358,8.29,9.14,.,.,.,458,2209,.,.,1.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
SD,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,interview,.,87.14,81.4,1.01,1.11,.,.,.,91.37,462.69,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Mean,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,interview,.,142.94,133.08,6.19,6.84,.,.,.,239.08,797.54,.,.,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Min,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,interview,.,39,33,4.06,4.46,.,.,.,84,156,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,interview,.,379,358,9.42,10.25,.,.,.,458,2209,.,.,1.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
SD,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,interview,.,99.55,91.76,1.09,1.2,.,.,.,107.65,539.86,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,interview,.,66.44,63.11,6.28,7.03,.,.,.,151.44,377.22,.,.,1.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Min,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,interview,.,36,36,4.6,5.13,.,.,.,109,244,.,.,0.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Max,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,interview,.,117,107,7.65,8.52,.,.,.,210,568,.,.,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
SD,eng,SALT_Convo,.,9;6-9;11,.,TD,.,.,.,.,.,.,interview,.,28.07,26.73,1.11,1.26,.,.,.,33.76,115.56,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Mean,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,interview,.,233.68,218.88,6.14,6.74,.,.,.,355.36,1346.2,.,.,1.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Min,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,interview,.,148,138,3.46,3.74,.,.,.,181,492,.,.,0.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Max,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,interview,.,304,278,8.63,9.63,.,.,.,492,2089,.,.,1.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
SD,eng,SALT_Convo,.,10;9-11;3,.,TD,.,.,.,.,.,.,interview,.,45.46,42.61,1.28,1.41,.,.,.,65.41,376.89,.,.,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25
Mean,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,interview,.,229.93,212.04,5.78,6.38,.,.,.,330.37,1233.63,.,.,1.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Min,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,interview,.,169,161,4.15,4.71,.,.,.,253,715,.,.,0.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Max,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,interview,.,338,295,7.64,8.48,.,.,.,523,1867,.,.,1.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
SD,eng,SALT_Convo,.,12;9-13;3,.,TD,.,.,.,.,.,.,interview,.,47.86,40.1,1,1.06,.,.,.,61.65,338.85,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Mean,eng,ENNI,.,4;0-4;6,.,TD,.,.,.,.,.,.,pictures,.,57.75,56.69,5.66,6.12,.,.,.,103.06,321.25,.,.,1.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Min,eng,ENNI,.,4;0-4;6,.,TD,.,.,.,.,.,.,pictures,.,50,46,4.09,4.45,.,.,.,38,228,.,.,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Max,eng,ENNI,.,4;0-4;6,.,TD,.,.,.,.,.,.,pictures,.,69,66,7.73,8.18,.,.,.,136,439,.,.,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
SD,eng,ENNI,.,4;0-4;6,.,TD,.,.,.,.,.,.,pictures,.,6.1,5.85,0.95,0.99,.,.,.,23.02,64.86,.,.,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
Mean,eng,ENNI,.,4;6-5;0,.,TD,.,.,.,.,.,.,pictures,.,71.74,71,6.62,7.08,.,.,.,134.44,474.53,.,.,1.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Min,eng,ENNI,.,4;6-5;0,.,TD,.,.,.,.,.,.,pictures,.,50,50,4.7,5.2,.,.,.,79,263,.,.,1.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Max,eng,ENNI,.,4;6-5;0,.,TD,.,.,.,.,.,.,pictures,.,111,111,8.43,8.88,.,.,.,195,856,.,.,1.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
SD,eng,ENNI,.,4;6-5;0,.,TD,.,.,.,.,.,.,pictures,.,16.71,16.54,0.99,1.03,.,.,.,30.62,146.66,.,.,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Mean,eng,ENNI,.,5;0-5;6,.,TD,.,.,.,.,.,.,pictures,.,75.63,75.25,7.06,7.56,.,.,.,142.19,532.94,.,.,1.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Min,eng,ENNI,.,5;0-5;6,.,TD,.,.,.,.,.,.,pictures,.,48,48,5.83,6.32,.,.,.,77,314,.,.,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Max,eng,ENNI,.,5;0-5;6,.,TD,.,.,.,.,.,.,pictures,.,153,152,8.36,8.91,.,.,.,256,1179,.,.,1.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
SD,eng,ENNI,.,5;0-5;6,.,TD,.,.,.,.,.,.,pictures,.,26.77,26.53,0.73,0.71,.,.,.,37.54,200.64,.,.,0.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Mean,eng,ENNI,.,5;6-6;0,.,TD,.,.,.,.,.,.,pictures,.,75.13,74.69,7.27,7.81,.,.,.,141.25,547.41,.,.,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Min,eng,ENNI,.,5;6-6;0,.,TD,.,.,.,.,.,.,pictures,.,50,49,4.92,5.55,.,.,.,93,261,.,.,1.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Max,eng,ENNI,.,5;6-6;0,.,TD,.,.,.,.,.,.,pictures,.,153,152,9.64,10.5,.,.,.,256,1179,.,.,1.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
SD,eng,ENNI,.,5;6-6;0,.,TD,.,.,.,.,.,.,pictures,.,24.83,24.54,1.02,1.05,.,.,.,34.39,203.11,.,.,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32
Mean,eng,ENNI,.,6;0-6;6,.,TD,.,.,.,.,.,.,pictures,.,70.23,70.09,7.04,7.63,.,.,.,136.64,496.55,.,.,1.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Min,eng,ENNI,.,6;0-6;6,.,TD,.,.,.,.,.,.,pictures,.,50,50,4.92,5.55,.,.,.,93,261,.,.,1.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Max,eng,ENNI,.,6;0-6;6,.,TD,.,.,.,.,.,.,pictures,.,109,109,8.95,9.64,.,.,.,186,753,.,.,1.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
SD,eng,ENNI,.,6;0-6;6,.,TD,.,.,.,.,.,.,pictures,.,18.11,18.19,0.88,0.88,.,.,.,25.76,146.85,.,.,0.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Mean,eng,ENNI,.,6;6-7;0,.,TD,.,.,.,.,.,.,pictures,.,74.3,73.84,7.09,7.69,.,.,.,145.24,527.38,.,.,1.37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Min,eng,ENNI,.,6;6-7;0,.,TD,.,.,.,.,.,.,pictures,.,52,52,4.86,5.17,.,.,.,93,277,.,.,1.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Max,eng,ENNI,.,6;6-7;0,.,TD,.,.,.,.,.,.,pictures,.,137,137,9.58,10.13,.,.,.,227,926,.,.,1.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
SD,eng,ENNI,.,6;6-7;0,.,TD,.,.,.,.,.,.,pictures,.,22.09,21.85,1.13,1.2,.,.,.,35.13,184.57,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Mean,eng,ENNI,.,7;0-7;6,.,TD,.,.,.,.,.,.,pictures,.,74.37,74.04,8,8.7,.,.,.,155.26,592.74,.,.,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Min,eng,ENNI,.,7;0-7;6,.,TD,.,.,.,.,.,.,pictures,.,45,45,6.29,6.95,.,.,.,101,321,.,.,1.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Max,eng,ENNI,.,7;0-7;6,.,TD,.,.,.,.,.,.,pictures,.,137,137,10.08,11.07,.,.,.,227,901,.,.,1.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
SD,eng,ENNI,.,7;0-7;6,.,TD,.,.,.,.,.,.,pictures,.,20.13,20.06,1.06,1.14,.,.,.,30.18,170.91,.,.,0.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Mean,eng,ENNI,.,7;6-8;0,.,TD,.,.,.,.,.,.,pictures,.,74.17,74.03,7.7,8.39,.,.,.,153.97,572.89,.,.,1.47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Min,eng,ENNI,.,7;6-8;0,.,TD,.,.,.,.,.,.,pictures,.,45,45,5.66,6.09,.,.,.,89,296,.,.,1.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Max,eng,ENNI,.,7;6-8;0,.,TD,.,.,.,.,.,.,pictures,.,113,113,9.44,10.32,.,.,.,202,963,.,.,1.77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
SD,eng,ENNI,.,7;6-8;0,.,TD,.,.,.,.,.,.,pictures,.,16.27,16.12,1.07,1.2,.,.,.,27.06,157.24,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Mean,eng,ENNI,.,8;0-8;6,.,TD,.,.,.,.,.,.,pictures,.,73.8,73.65,7.87,8.65,.,.,.,155.65,583.05,.,.,1.51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20
Min,eng,ENNI,.,8;0-8;6,.,TD,.,.,.,.,.,.,pictures,.,56,56,6.39,6.77,.,.,.,129,362,.,.,1.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20
Max,eng,ENNI,.,8;0-8;6,.,TD,.,.,.,.,.,.,pictures,.,107,107,9.53,10.82,.,.,.,200,995,.,.,1.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20
SD,eng,ENNI,.,8;0-8;6,.,TD,.,.,.,.,.,.,pictures,.,13.21,13.26,1,1.2,.,.,.,20.19,147.26,.,.,0.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20
Mean,eng,ENNI,.,8;6-9;0,.,TD,.,.,.,.,.,.,pictures,.,79.59,79.51,8.09,8.8,.,.,.,175.76,652.41,.,.,1.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Min,eng,ENNI,.,8;6-9;0,.,TD,.,.,.,.,.,.,pictures,.,49,49,6.22,6.76,.,.,.,111,321,.,.,1.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Max,eng,ENNI,.,8;6-9;0,.,TD,.,.,.,.,.,.,pictures,.,147,147,10.3,11.31,.,.,.,279,1183,.,.,2.02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
SD,eng,ENNI,.,8;6-9;0,.,TD,.,.,.,.,.,.,pictures,.,24.14,24.17,0.98,1.08,.,.,.,46.56,236.24,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Mean,eng,ENNI,.,9;0-9;6,.,TD,.,.,.,.,.,.,pictures,.,76.93,76.9,8.5,9.27,.,.,.,173.37,660.37,.,.,1.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
